,Horsepower,Extra propeller,Retractable Landing gear,Empty Weight (lb),Payload Weight (lb),Fuel Load (lb)(Enough for 40 min),Total Weight (lb),Wing 1 Semi-Length,Wing 1 Lat Arm,Wing 1 Root Chord,Wing 1 Tip Chord,Sweep,Long Arm,Wing Area,Aspect Ratio,Wing Loading,Power Loading,Score
1176,475,1,0,2036.28,5300,300,7636.28,50,2,2.3,2.3,0,13,229.99999999999997,43.47826086956522,33.201217391304354,16.076378947368422,89340.70811599166
1177,475,0,1,2036.28,5300,300,7636.28,50,2,2.3,2.3,0,13,229.99999999999997,43.47826086956522,33.201217391304354,16.076378947368422,89340.70811599166
1178,475,0,0,1936.2800000000002,5300,300,7536.280000000001,55,2,2.0,2.0,0,13,220.0,55.0,34.255818181818185,15.86585263157895,89340.70811599166
1179,475,1,0,1916.2800000000002,5300,300,7516.280000000001,50,2,2.0,2.3,0,13,215.0,46.51162790697675,34.95944186046512,15.823747368421055,89340.70811599166
1180,475,1,0,1916.2800000000002,5300,300,7516.280000000001,50,2,2.3,2.0,0,13,215.0,46.51162790697675,34.95944186046512,15.823747368421055,89340.70811599166
1181,425,0,0,1856.2799999999997,5000,300,7156.28,50,2,2.9,2.3,0,13,259.99999999999994,38.46153846153847,27.52415384615385,16.83830588235294,89331.49593517574
1182,450,0,0,1936.2800000000004,5000,300,7236.280000000001,50,2,2.6,2.3,0,13,245.00000000000003,40.816326530612244,29.535836734693877,16.080622222222225,89329.02029561385
1183,450,0,1,1468.2800000000002,5900,300,7668.280000000001,40,2,2.6,2.0,0,13,184.0,34.78260869565218,41.6754347826087,17.040622222222225,89319.37746725527
1184,450,1,1,1488.2800000000002,5900,300,7688.280000000001,40,2,2.6,2.0,0,13,184.0,34.78260869565218,41.78413043478261,17.08506666666667,89319.37746725527
1185,425,0,0,1496.2800000000002,5300,300,7096.280000000001,50,2,2.0,2.3,0,13,215.0,46.51162790697675,33.00595348837209,16.697129411764706,89311.10073839883
1186,475,1,1,1816.2800000000002,5300,300,7416.280000000001,50,2,2.0,2.0,0,13,200.0,50.0,37.0814,15.61322105263158,89307.8010124037
1187,475,0,0,1776.2800000000002,5300,300,7376.280000000001,50,2,2.0,2.0,0,13,200.0,50.0,36.881400000000006,15.52901052631579,89307.8010124037
1188,475,1,1,1816.2800000000002,5300,300,7416.280000000001,50,2,2.0,2.0,0,13,200.0,50.0,37.0814,15.61322105263158,89307.8010124037
1189,475,0,0,1896.2800000000002,5300,300,7496.280000000001,50,2,2.3,2.0,0,13,215.0,46.51162790697675,34.866418604651166,15.78164210526316,89307.8010124037
1190,475,0,1,1796.2800000000002,5300,300,7396.280000000001,50,2,2.0,2.0,0,13,200.0,50.0,36.9814,15.571115789473685,89307.8010124037
1191,450,0,1,2284.28,5300,300,7884.280000000001,55,2,2.0,3.2,0,13,286.0,42.30769230769231,27.56741258741259,17.520622222222222,89306.79824993155
1192,475,0,0,1724.2800000000002,5900,300,7924.280000000001,45,2,2.3,2.0,0,13,193.5,41.86046511627907,40.95235142118863,16.682694736842105,89305.32364433061
1193,425,1,0,1668.2800000000002,5300,300,7268.280000000001,45,2,2.0,3.2,0,13,234.0,34.61538461538461,31.061025641025644,17.10183529411765,89304.35194426839
1194,425,1,1,1688.2800000000002,5300,300,7288.280000000001,45,2,2.0,3.2,0,13,234.0,34.61538461538461,31.14649572649573,17.14889411764706,89304.35194426839
1195,425,1,1,1688.2800000000002,5300,300,7288.280000000001,45,2,2.0,3.2,0,13,234.0,34.61538461538461,31.14649572649573,17.14889411764706,89304.35194426839
1196,400,1,1,1816.2800000000002,5000,300,7116.280000000001,50,2,2.6,2.9,0,13,275.0,36.36363636363637,25.87738181818182,17.7907,89299.49252376417
1197,425,1,1,1472.28,5300,300,7072.28,45,2,2.0,2.6,0,13,206.99999999999997,39.130434782608695,34.1656038647343,16.64065882352941,89293.27158173462
1198,425,1,1,1472.28,5300,300,7072.28,45,2,2.0,2.6,0,13,206.99999999999997,39.130434782608695,34.1656038647343,16.64065882352941,89293.27158173462
1199,450,1,0,1788.2800000000002,5900,300,7988.280000000001,35,2,3.8,2.6,0,13,224.0,21.875,35.66196428571429,17.751733333333334,89292.06372235643
1200,450,1,1,2064.2799999999997,5600,300,7964.28,40,2,2.3,4.1,0,13,255.99999999999997,25.000000000000004,31.110468750000003,17.6984,89290.87046320316
1201,425,1,1,1864.2800000000002,5300,300,7464.280000000001,40,2,3.5,2.9,0,13,256.0,25.0,29.157343750000003,17.563011764705884,89287.4141528181
1202,425,1,0,1844.2800000000002,5300,300,7444.280000000001,40,2,3.5,2.9,0,13,256.0,25.0,29.079218750000003,17.515952941176472,89287.4141528181
1203,425,1,1,1188.2800000000002,5900,300,7388.280000000001,35,2,2.6,2.3,0,13,171.5,28.57142857142857,43.08034985422741,17.38418823529412,89271.679029978
1204,450,0,0,1736.2800000000002,5900,300,7936.280000000001,40,2,2.3,3.2,0,13,220.0,29.09090909090909,36.074000000000005,17.636177777777778,89264.24059213903
1205,425,1,0,1168.2800000000002,5900,300,7368.280000000001,35,2,2.3,2.6,0,13,171.5,28.57142857142857,42.96373177842566,17.337129411764707,89261.22296455692
1206,400,1,1,820.2800000000002,5900,300,7020.280000000001,35,2,2.3,2.0,0,13,150.5,32.55813953488372,46.64637873754153,17.550700000000003,89242.3348235375
1207,400,1,1,820.2800000000002,5900,300,7020.280000000001,35,2,2.3,2.0,0,13,150.5,32.55813953488372,46.64637873754153,17.550700000000003,89242.3348235375
1208,450,1,1,1996.2800000000002,5300,300,7596.280000000001,45,2,2.0,3.5,0,13,247.5,32.72727272727273,30.692040404040405,16.880622222222225,89239.61719051083
1209,450,1,1,1996.2800000000002,5300,300,7596.280000000001,45,2,2.3,3.2,0,13,247.5,32.72727272727273,30.692040404040405,16.880622222222225,89239.61719051083
1210,425,0,1,1588.2800000000002,5600,300,7488.280000000001,35,2,3.8,2.6,0,13,224.0,21.875,33.42982142857143,17.619482352941176,89235.87083000533
1211,475,1,0,1852.28,5600,300,7752.28,45,2,2.0,2.6,0,13,206.99999999999997,39.130434782608695,37.45062801932367,16.32058947368421,89208.02194410747
1212,475,1,1,1980.2800000000004,5600,300,7880.280000000001,45,2,2.3,2.6,0,13,220.50000000000003,36.73469387755102,35.73823129251701,16.59006315789474,89208.02194410747
1213,475,1,1,1980.2800000000004,5600,300,7880.280000000001,45,2,2.3,2.6,0,13,220.50000000000003,36.73469387755102,35.73823129251701,16.59006315789474,89208.02194410747
1214,475,1,0,1960.2800000000004,5300,300,7560.280000000001,45,2,2.3,2.6,0,13,220.50000000000003,36.73469387755102,34.28698412698412,15.916378947368422,89208.02194410747
1215,475,0,1,1960.2800000000004,5600,300,7860.280000000001,45,2,2.3,2.6,0,13,220.50000000000003,36.73469387755102,35.6475283446712,16.547957894736843,89208.02194410747
1216,475,1,0,1852.28,5600,300,7752.28,45,2,2.0,2.6,0,13,206.99999999999997,39.130434782608695,37.45062801932367,16.32058947368421,89208.02194410747
1217,400,1,1,2056.28,5600,300,7956.280000000001,50,2,2.9,3.2,0,13,305.0,32.786885245901644,26.08616393442623,19.890700000000002,89199.7499973759
1218,400,1,0,2036.2800000000002,5600,300,7936.280000000001,50,2,2.9,3.2,0,13,305.0,32.786885245901644,26.02059016393443,19.840700000000002,89199.7499973759
1219,450,0,1,2152.28,5000,300,7452.280000000001,55,2,2.9,2.0,0,13,269.5,44.897959183673464,27.652244897959186,16.560622222222225,89197.60244471674
1220,450,0,0,2132.28,5000,300,7432.280000000001,55,2,2.9,2.0,0,13,269.5,44.897959183673464,27.578033395176256,16.51617777777778,89197.60244471674
1221,450,1,1,1856.28,5000,300,7156.28,50,2,2.0,2.6,0,13,229.99999999999997,43.47826086956522,31.11426086956522,15.902844444444444,89196.1056587375
1222,450,1,1,2104.28,5000,300,7404.280000000001,45,2,2.3,3.5,0,13,261.0,31.03448275862069,28.36888888888889,16.453955555555556,89194.11789936718
1223,475,1,0,1960.2800000000004,5600,300,7860.280000000001,45,2,2.6,2.3,0,13,220.50000000000003,36.73469387755102,35.6475283446712,16.547957894736843,89191.92718712629
